runIndex,capsuleCdScale,drogueCdScale,mainCdScale,mass_kg,densityScaleFactor,drogueDeployAltitudeOffset_m,mainDeployAltitudeOffset_m,touchdownVelocity_mps,totalDescentTime_s,peakDeceleration_g
175,1.03090224285623,0.954651905399642,1.09017271245008,6465.10578917809,0.995940088062556,177.44636806704,-32.1090732295511,8.60651663199915,371.287149270847,3.04493045676853
176,1.02770518953282,0.979518879592559,0.954843040469734,6548.39776479598,0.994560040378903,157.639681471654,-108.018157643566,9.258777162033,346.393922082353,3.10637610447185
177,0.942620940805017,0.906226816576902,1.03033336507518,6486.85263437238,1.02186149499038,-10.7160373233771,187.277371165889,8.75534267747841,381.694643461075,3.13183385191942
178,0.937105103140624,1.07372463359112,1.05531937055835,6527.09218446441,1.02068699368701,104.4095963772,50.4881286525662,8.68345229159464,379.627627571637,3.498839548574
179,0.926248975536478,0.90650523589825,1.08416956956314,6511.66503145207,1.01779223745857,-7.39105939497997,-153.076724415042,8.56987269879743,357.410693580453,3.17793692152758
180,0.92503715844051,1.03711305744579,0.986061178979893,6470.05247267003,0.999495672804486,-174.316425169946,32.7885607657595,9.03715937781465,363.199887056312,3.44398913191308
181,0.95379868088702,1.05951182012744,0.962072391784715,6495.52201490818,0.970697232394486,-171.021244882176,-43.0025774373261,9.30093004749836,349.312357111745,3.4267931133569
182,0.995987766943425,1.02000410962386,0.958332515741861,6519.49818861265,1.02160734383135,111.94039555734,-184.152469860657,9.09941731356596,347.267228947037,3.2411256868945
183,0.996101389451566,0.920986035683635,0.948409003172506,6548.66625932671,0.978549732574091,-0.444738619457574,47.2622937272476,9.36669969646579,350.80753202228,3.05695248728737
184,1.04049299410882,1.01192973669738,0.901954169483837,6482.6461308244,1.00106269860308,-164.853400342067,-59.7492275163277,9.44576700187851,346.082290260522,3.0977312400018
185,0.906640621758273,0.915715699431004,0.979384655240319,6463.27157540431,1.00405245089569,75.7859876549063,120.234679643633,9.04286650692427,366.527124958044,3.25865788771285
186,0.940030048848962,0.933496516451814,0.92091356806688,6513.64302495436,1.01238854358921,-187.365542069743,174.484898497476,9.32097006944943,362.664043504381,3.18693083715651
187,0.910394256730295,1.00825926706021,1.04181210389018,6537.09691237461,1.01284521592795,120.691233227917,-64.2199229828776,8.78040906262508,363.197626845047,3.44778309597201
188,1.0629650227493,0.916022969276935,1.07896333121211,6504.75923761537,1.01903786619775,-19.0726861926799,57.43107807861,8.57778587033566,378.837770218583,3.02884863771521
189,1.00528053218722,1.04631790435107,0.916325996406118,6456.03520839906,0.984826194040609,-136.182127954725,148.713426636881,9.43030398092309,362.636378240197,3.2589139983304
190,0.943842797471609,1.09517305116383,0.967379158354221,6468.21179156887,1.01738191042855,63.4831102003504,-0.721713418744407,9.04127410374857,365.774436382049,3.51416214345391
191,1.01107271018753,1.04384035565445,0.94569094826626,6549.63339160567,1.02848758972881,60.1302745387748,-120.183019628342,9.14972912154614,352.23999378359,3.24157617394278
192,1.03604564848626,0.914439681795835,0.906130500441161,6475.76828885112,0.997757377404359,147.309002163352,90.8676279065232,9.4348086039108,355.508312812861,2.95104475677985
193,1.04854130424,0.985098666889615,0.969186998509393,6487.10387629846,1.02925897382416,-183.956323435007,146.812598448979,8.99115792404022,375.735292562674,3.01186359008222
194,1.01573508171448,0.987723083837918,1.04505153208303,6498.66689414247,1.0224053942849,160.280745604503,-31.3116292506178,8.69775681156045,370.886352170392,3.13321406848945
